dataset,metric_clf,generator,mean,config_spread_std
diabetes,c2st_logreg,ctgan,0.7936,0.0485
diabetes,c2st_logreg,tvae,0.73,0.0224
diabetes,c2st_logreg,great,0.7651,0.0132
diabetes,c2st_logreg,icl,0.7288,0.0395
diabetes,c2st_rf,ctgan,0.9591,0.0112
diabetes,c2st_rf,tvae,0.8609,0.0088
diabetes,c2st_rf,great,0.8668,0.0116
diabetes,c2st_rf,icl,0.9751,0.0063
diabetes,c2st_gb,ctgan,0.9598,0.0089
diabetes,c2st_gb,tvae,0.8746,0.0122
diabetes,c2st_gb,great,0.8832,0.0086
diabetes,c2st_gb,icl,0.976,0.0073
diabetes,tstr_hgb,ctgan,0.6077,0.1117
diabetes,tstr_hgb,tvae,0.7634,0.0199
diabetes,tstr_hgb,great,0.5283,0.0106
diabetes,tstr_hgb,icl,0.6592,0.0256
diabetes,tstr_logreg,ctgan,0.6232,0.1163
diabetes,tstr_logreg,tvae,0.7462,0.0184
diabetes,tstr_logreg,great,0.5401,0.0309
diabetes,tstr_logreg,icl,0.5764,0.0669
diabetes,tstr_rf,ctgan,0.6078,0.1193
diabetes,tstr_rf,tvae,0.7563,0.0103
diabetes,tstr_rf,great,0.5493,0.0136
diabetes,tstr_rf,icl,0.6591,0.0133
