dataset,serialization,copy_pct,metric,full_mean,full_ci95,dedup_mean,dedup_ci95,sizematched_mean,sizematched_ci95,dedup_minus_sizematched
diabetes,sentence,39.98,ks_marginal,0.1986,0.0069,0.2444,0.0111,0.2019,0.0072,0.0424
diabetes,sentence,39.98,tvd_categorical,0.067,0.0099,0.0919,0.0156,0.0681,0.0094,0.0237
diabetes,sentence,39.98,corr_diff,1.7156,0.0592,1.9807,0.0938,1.7326,0.0593,0.2481
diabetes,sentence,39.98,c2st_auc,0.7101,0.0071,0.7662,0.0131,0.71,0.0081,0.0562
diabetes,sentence,39.98,tstr,0.6485,0.0145,0.6046,0.0195,0.6567,0.014,-0.0521
diabetes,keyvalue,48.57,ks_marginal,0.2917,0.0261,0.3426,0.031,0.295,0.0272,0.0476
diabetes,keyvalue,48.57,tvd_categorical,0.1463,0.0489,0.1754,0.0634,0.1486,0.0506,0.0268
diabetes,keyvalue,48.57,corr_diff,2.5203,0.2214,3.5653,0.3541,2.5809,0.2264,0.9845
diabetes,keyvalue,48.57,c2st_auc,0.8181,0.0228,0.8815,0.023,0.8243,0.0241,0.0572
diabetes,keyvalue,48.57,tstr,0.6946,0.028,0.6332,0.0494,0.6706,0.0314,-0.0374
diabetes,compact,51.6,ks_marginal,0.2295,0.038,0.3244,0.051,0.2334,0.0355,0.091
diabetes,compact,51.6,tvd_categorical,0.1216,0.0606,0.201,0.0799,0.119,0.0628,0.082
diabetes,compact,51.6,corr_diff,1.9991,0.2313,2.7751,0.6568,2.0389,0.2079,0.7362
diabetes,compact,51.6,c2st_auc,0.7332,0.036,0.845,0.043,0.7223,0.04,0.1227
diabetes,compact,51.6,tstr,0.6773,0.0275,0.6468,0.0365,0.6822,0.0164,-0.0355
