generator,dataset,metric,config_id,delta_mean,p_raw,p_holm,sig_0.05
great,diabetes,ks_marginal,column_order=perm1,0.0011943539630836775,0.8925952715065972,1.0,False
great,diabetes,ks_marginal,column_order=perm2,0.007003257328990237,0.44748028714991916,1.0,False
great,diabetes,ks_marginal,column_order=perm3,0.00020358306188927866,0.9707659659011748,1.0,False
great,diabetes,ks_marginal,numeric_format=rounded,-0.015051574375678584,1.8007446361038997e-05,7.202978544415599e-05,True
great,diabetes,tvd_categorical,column_order=perm1,0.007926167209554837,0.39553671682570535,1.0,False
great,diabetes,tvd_categorical,column_order=perm2,-0.0016286644951140072,0.8651409347239948,1.0,False
great,diabetes,tvd_categorical,column_order=perm3,0.009120521172638438,0.4576098092569757,1.0,False
great,diabetes,tvd_categorical,numeric_format=rounded,0.014440825190010859,0.04802579057823994,0.19210316231295976,False
great,diabetes,corr_diff,column_order=perm1,0.03185209327904892,0.3050119415705396,1.0,False
great,diabetes,corr_diff,column_order=perm2,-0.018732120511249395,0.26965618184414686,1.0,False
great,diabetes,corr_diff,column_order=perm3,0.009883340104928084,0.6673026700027038,1.0,False
great,diabetes,corr_diff,numeric_format=rounded,-0.007017299603543581,0.7254978427810813,1.0,False
great,diabetes,c2st_auc,column_order=perm1,0.004008420118853939,0.7173043212674304,1.0,False
great,diabetes,c2st_auc,column_order=perm2,0.008160876570780906,0.5360556835665526,1.0,False
great,diabetes,c2st_auc,column_order=perm3,-0.0008594141385903642,0.9193686688503524,1.0,False
great,diabetes,c2st_auc,numeric_format=rounded,-0.029086034962708562,0.00015116885100129745,0.0006046754040051898,True
great,diabetes,tstr,column_order=perm1,0.0022222222222221255,0.9390123849534013,1.0,False
great,diabetes,tstr,column_order=perm2,0.028740740740740733,0.18564052013393548,0.7425620805357419,False
great,diabetes,tstr,column_order=perm3,0.019555555555555437,0.4841789876020509,1.0,False
great,diabetes,tstr,numeric_format=rounded,0.015283950617283937,0.6486253379654112,1.0,False
icl,diabetes,ks_marginal,column_order=perm1,-0.024144951140065096,0.0111329716843595,0.044531886737438,True
icl,diabetes,ks_marginal,column_order=perm2,-0.02457926167209551,0.01531285921018214,0.04593857763054642,True
icl,diabetes,ks_marginal,column_order=perm3,-0.04529044516829528,0.00034861481863123313,0.0017430740931561658,True
icl,diabetes,ks_marginal,numeric_format=rounded,0.009229098805646069,0.3506876530255687,0.7013753060511374,False
icl,diabetes,ks_marginal,serialization=compact,0.014033659066232357,0.5650993392032544,0.7013753060511374,False
icl,diabetes,ks_marginal,serialization=keyvalue,0.07616720955483178,8.672923840904346e-05,0.0005203754304542608,True
icl,diabetes,tvd_categorical,column_order=perm1,0.05157437567861022,0.0066335248871752855,0.03930631569854438,True
icl,diabetes,tvd_categorical,column_order=perm2,-0.011834961997828464,0.35187780872576524,0.7037556174515305,False
icl,diabetes,tvd_categorical,column_order=perm3,0.01932681867535286,0.09309407493801054,0.27928222481403164,False
icl,diabetes,tvd_categorical,numeric_format=rounded,0.0018458197611291999,0.9001096542666904,0.9001096542666904,False
icl,diabetes,tvd_categorical,serialization=compact,0.06677524429967427,0.05074817475944278,0.20299269903777112,False
icl,diabetes,tvd_categorical,serialization=keyvalue,0.09142236699239956,0.0065510526164240645,0.03930631569854438,True
icl,diabetes,corr_diff,column_order=perm1,-0.44277506407892986,6.28001043292766e-05,0.0003768006259756596,True
icl,diabetes,corr_diff,column_order=perm2,-0.05660972023168265,0.44466180971202396,0.8893236194240479,False
icl,diabetes,corr_diff,column_order=perm3,-0.2774492724406379,0.004691492899561211,0.018765971598244845,True
icl,diabetes,corr_diff,numeric_format=rounded,0.04404611831660277,0.5305539274158374,0.8893236194240479,False
icl,diabetes,corr_diff,serialization=compact,0.1369577430722333,0.29136629696178856,0.8740988908853657,False
icl,diabetes,corr_diff,serialization=keyvalue,0.6581262480666621,0.00018083414560478934,0.0009041707280239467,True
icl,diabetes,c2st_auc,column_order=perm1,-0.019379435217782848,0.15124292843199919,0.4537287852959976,False
icl,diabetes,c2st_auc,column_order=perm2,-0.035507701165243155,0.00906606737697202,0.0453303368848601,True
icl,diabetes,c2st_auc,column_order=perm3,-0.020635521762388143,0.09465597739514556,0.37862390958058223,False
icl,diabetes,c2st_auc,numeric_format=rounded,0.007408501820590496,0.4986826680886498,0.9973653361772996,False
icl,diabetes,c2st_auc,serialization=compact,0.009531645336445349,0.6550633840589879,0.9973653361772996,False
icl,diabetes,c2st_auc,serialization=keyvalue,0.09446420167253777,2.4919461607621234e-05,0.0001495167696457274,True
icl,diabetes,tstr,column_order=perm1,-0.05074074074074075,0.027635626290366196,0.16581375774219717,False
icl,diabetes,tstr,column_order=perm2,-0.03281481481481474,0.2524654473297916,1.0,False
icl,diabetes,tstr,column_order=perm3,0.005876543209876628,0.8026407484889193,1.0,False
icl,diabetes,tstr,numeric_format=rounded,-0.0012345679012344402,0.9658709484472857,1.0,False
icl,diabetes,tstr,serialization=compact,0.013098765432098758,0.6112240607411121,1.0,False
icl,diabetes,tstr,serialization=keyvalue,0.03032716049382722,0.29797816339952976,1.0,False
