dataset,metric,pair,delta_mean,p_raw,p_holm,sig_0.05
diabetes,ks_marginal,ctgan vs great,0.045928338762215,0.1924413093552074,0.5773239280656222,False
diabetes,ks_marginal,ctgan vs icl,0.014006514657980473,0.5360060538525444,0.5773239280656222,False
diabetes,ks_marginal,ctgan vs tvae,0.06583876221498375,0.016953680506906686,0.08476840253453342,False
diabetes,ks_marginal,great vs icl,-0.042711726384364795,0.00024894154379584676,0.0014936492627750804,True
diabetes,ks_marginal,great vs tvae,0.01991042345276875,0.24636443676741404,0.5773239280656222,False
diabetes,ks_marginal,icl vs tvae,0.051832247557003275,0.017757173229374063,0.08476840253453342,False
diabetes,tvd_categorical,ctgan vs great,0.09739413680781754,6.116066793722356e-05,0.00036696400762334136,True
diabetes,tvd_categorical,ctgan vs icl,0.06710097719869704,0.014036933012306095,0.05614773204922438,False
diabetes,tvd_categorical,ctgan vs tvae,0.0061889250814331775,0.6252512885014592,0.6252512885014592,False
diabetes,tvd_categorical,great vs icl,-0.021824104234527686,0.13297856371086364,0.2659571274217273,False
diabetes,tvd_categorical,great vs tvae,-0.09120521172638436,0.0002072784707220717,0.0010363923536103586,True
diabetes,tvd_categorical,icl vs tvae,-0.06091205211726385,0.03336520112026741,0.10009560336080223,False
diabetes,corr_diff,ctgan vs great,0.3485226413136302,0.0014536101808120935,0.00436083054243628,True
diabetes,corr_diff,ctgan vs icl,-0.05573995623396333,0.473810576979655,0.473810576979655,False
diabetes,corr_diff,ctgan vs tvae,0.7204588948539107,0.00032845932311172555,0.0016422966155586276,True
diabetes,corr_diff,great vs icl,-0.5643427619034014,1.0204010886405163e-06,6.122406531843098e-06,True
diabetes,corr_diff,great vs tvae,0.3719362535402805,0.010100427512086362,0.020200855024172723,True
diabetes,corr_diff,icl vs tvae,0.776198851087874,0.0003552299569864197,0.0016422966155586276,True
diabetes,c2st_auc,ctgan vs great,0.018570392981019035,0.6886452002276409,1.0,False
diabetes,c2st_auc,ctgan vs icl,0.06526633790928071,0.10681134721965513,0.4272453888786205,False
diabetes,c2st_auc,ctgan vs tvae,0.06364225041690641,0.05995297482785432,0.2997648741392716,False
diabetes,c2st_auc,great vs icl,0.04493969349929394,0.0010120055795624016,0.00607203347737441,True
diabetes,c2st_auc,great vs tvae,0.045071857435887375,0.10996192421449036,0.4272453888786205,False
diabetes,c2st_auc,icl vs tvae,-0.0016240874923743043,0.9229758126417394,1.0,False
diabetes,tstr,ctgan vs great,0.06740740740740725,0.059556576599219715,0.12401145900851274,False
diabetes,tstr,ctgan vs icl,0.010370370370370363,0.8827892350697747,0.8827892350697747,False
diabetes,tstr,ctgan vs tvae,-0.15562962962962956,0.04133715300283758,0.12401145900851274,False
diabetes,tstr,great vs icl,-0.14991358024691348,0.0008989662783301729,0.005393797669981037,True
diabetes,tstr,great vs tvae,-0.2230370370370368,0.012572081569839732,0.050288326279358926,False
diabetes,tstr,icl vs tvae,-0.16599999999999993,0.0044025155044765864,0.022012577522382934,True
