dataset,generator,config_id,metric,mean,ci_lo,ci_hi,n_seeds
diabetes,ctgan,baseline,c2st_auc,0.7936236453927914,0.7541984398652465,0.8340598286430685,5
diabetes,great,baseline,c2st_auc,0.768615473413164,0.7488186607922321,0.786055549776476,15
diabetes,great,column_order=perm1,c2st_auc,0.772623893532018,0.7633412790258786,0.7827232395208131,15
diabetes,great,column_order=perm2,c2st_auc,0.776776349983945,0.7674096021934494,0.7858982968691475,15
diabetes,great,column_order=perm3,c2st_auc,0.7677560592745737,0.7471134297861703,0.7835576990522671,15
diabetes,great,numeric_format=rounded,c2st_auc,0.7395294384504555,0.7237782122923189,0.7536818759397775,15
diabetes,icl,baseline,c2st_auc,0.7236757799138701,0.7042036991887977,0.7435973826368278,15
diabetes,icl,column_order=perm1,c2st_auc,0.7042963446960873,0.6927016098709567,0.7158423260325499,15
diabetes,icl,column_order=perm2,c2st_auc,0.688168078748627,0.6789084688617777,0.6979435860705401,15
diabetes,icl,column_order=perm3,c2st_auc,0.703040258151482,0.6966116591303859,0.7099350063046146,15
diabetes,icl,numeric_format=rounded,c2st_auc,0.7310842817344606,0.7160754881425931,0.7468084428378604,15
diabetes,icl,serialization=compact,c2st_auc,0.7332074252503155,0.69769514831827,0.7692871154158029,15
diabetes,icl,serialization=keyvalue,c2st_auc,0.8181399815864079,0.7981725630434365,0.8406652227997689,15
diabetes,tvae,baseline,c2st_auc,0.729981394975885,0.7108083812545443,0.7491544086972258,5
diabetes,ctgan,baseline,corr_diff,1.6515886015702386,1.6065870328135161,1.6965901703269606,5
diabetes,great,baseline,corr_diff,1.2977985607796783,1.2709139853533784,1.327924665995942,15
diabetes,great,column_order=perm1,corr_diff,1.3296506540587272,1.2899580813571063,1.3783619076600417,15
diabetes,great,column_order=perm2,corr_diff,1.2790664402684289,1.2593263527570189,1.2973775916232748,15
diabetes,great,column_order=perm3,corr_diff,1.3076819008846063,1.2820261803061404,1.3342339933238785,15
diabetes,great,numeric_format=rounded,corr_diff,1.2907812611761347,1.2551030146683337,1.3287522648341679,15
diabetes,icl,baseline,corr_diff,1.8621413226830796,1.7575417766789967,1.9884835506065377,15
diabetes,icl,column_order=perm1,corr_diff,1.4193662586041498,1.338281289131804,1.4885286947596759,15
diabetes,icl,column_order=perm2,corr_diff,1.805531602451397,1.764684222926228,1.849800937120099,15
diabetes,icl,column_order=perm3,corr_diff,1.5846920502424418,1.5335886072820548,1.6303980772566844,15
diabetes,icl,numeric_format=rounded,corr_diff,1.9061874409996824,1.770122711687033,2.039389873953764,15
diabetes,icl,serialization=compact,corr_diff,1.999099065755313,1.7826698567135304,2.2512622875747965,15
diabetes,icl,serialization=keyvalue,corr_diff,2.5202675707497417,2.305102357940991,2.7394962828365257,15
diabetes,tvae,baseline,corr_diff,0.9311297067163279,0.8236745204054338,1.038330685106994,5
