view,metric,pct_gen,pct_config,pct_gen_x_config,pct_seed,pct_resid
shared,ks_marginal,19.9,6.68,16.7,6.82,49.9
shared,tvd_categorical,12.9,10.34,6.83,8.6,61.33
shared,corr_diff,54.37,9.16,12.64,1.17,22.68
shared,c2st_auc,43.0,1.25,10.43,6.99,38.33
shared,tstr,45.85,1.99,1.8,5.95,44.41
all,ks_marginal,13.21,19.09,21.44,2.74,43.52
all,tvd_categorical,9.99,8.46,13.67,4.94,62.93
all,corr_diff,32.37,20.61,20.61,2.66,23.75
all,c2st_auc,16.31,15.24,25.0,4.22,39.23
all,tstr,46.17,3.73,2.86,5.59,41.65
